Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Attack
172.16.0.5-192.168.50.4-932-44723-17,172.16.0.5,932,192.168.50.4,44723,17,2018-11-03 10:01:35.983831,148158,2,0,458,0,229,229,229,0,0,0,0,0,3091024,13.5,10973.5,13809.4,148158,0,148158,148158,0,148158,148158,0,0,0,0,0,0,0,0,0,40,0,13.5,0,229,229,229,0,0,0,0,0,0,0,0,0,0,0,229,229,0,0,0,0,0,0,0,2,458,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,Benign,Benign
192.168.1.100-10.0.0.50-53-12345-17,192.168.1.100,53,10.0.0.50,12345,17,2018-11-03 10:05:12.123456,5234,1000,0,512000,0,512,512,512,0,0,0,0,0,97898240,191.1,5.23,2.15,100,1,5234,5.23,2.15,100,1,0,0,0,0,0,0,0,0,0,40,0,191.1,0,512,512,512,0,0,0,0,0,0,0,0,0,0,0,512,512,0,0,0,0,0,0,0,1000,512000,0,0,-1,-1,1000,512,5.23,2.15,100,1,0,0,0,0,UDP,UDP
10.0.0.1-172.16.0.10-80-54321-6,10.0.0.1,80,172.16.0.10,54321,6,2018-11-03 10:10:45.789012,342,5000,0,250000,0,50,50,50,0,0,0,0,0,730994152,14619.9,0.068,0.02,5,0.01,342,0.068,0.02,5,0.01,0,0,0,0,0,0,0,0,0,40,0,14619.9,0,50,50,50,0,0,0,5000,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,5000,250000,0,0,65535,-1,5000,50,0.068,0.02,5,0.01,0,0,0,0,SYN,SYN
172.16.0.20-192.168.1.50-389-65432-6,172.16.0.20,389,192.168.1.50,65432,6,2018-11-03 10:15:30.456789,1234,2000,100,200000,10000,100,100,100,0,100,100,100,0,170297896,1627.7,0.617,0.25,10,0.1,1234,0.617,0.25,10,0.1,1234,12.34,5.0,50,5,0,0,0,0,40,40,1627.7,81.0,100,100,100,0,0,0,0,0,0,0,0,0,0,0.05,100,100,100,0,0,0,0,0,0,2000,200000,100,10000,65535,65535,2000,100,0.617,0.25,10,0.1,0.617,0.25,10,0.1,LDAP,LDAP
10.0.0.5-172.16.0.15-1433-45678-6,10.0.0.5,1433,172.16.0.15,45678,6,2018-11-03 10:20:15.234567,856,3000,50,300000,5000,100,100,100,0,100,100,100,0,356542056,3565.4,0.285,0.15,8,0.05,856,0.285,0.15,8,0.05,856,17.12,7.5,40,5,0,0,0,0,40,40,3565.4,58.4,100,100,100,0,0,0,0,0,0,0,0,0,0,0.017,100,100,100,0,0,0,0,0,0,3000,300000,50,5000,65535,65535,3000,100,0.285,0.15,8,0.05,0.285,0.15,8,0.05,MSSQL,MSSQL
192.168.1.10-10.0.0.20-53-78901-17,192.168.1.10,53,10.0.0.20,78901,17,2018-11-03 10:25:00.345678,4567,800,0,256000,0,320,320,320,0,0,0,0,0,56086016,175.2,5.71,3.20,200,1,4567,5.71,3.20,200,1,0,0,0,0,0,0,0,0,0,40,0,175.2,0,320,320,320,0,0,0,0,0,0,0,0,0,0,0,320,320,0,0,0,0,0,0,0,800,256000,0,0,-1,-1,800,320,5.71,3.20,200,1,0,0,0,0,DNS,DNS
172.16.0.30-192.168.1.60-137-34567-17,172.16.0.30,137,192.168.1.60,34567,17,2018-11-03 10:30:45.567890,2345,1500,0,450000,0,300,300,300,0,0,0,0,0,191897638,639.2,1.56,0.80,50,0.5,2345,1.56,0.80,50,0.5,0,0,0,0,0,0,0,0,0,40,0,639.2,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0,300,300,0,0,0,0,0,0,0,1500,450000,0,0,-1,-1,1500,300,1.56,0.80,50,0.5,0,0,0,0,NetBIOS,NetBIOS
10.0.0.8-172.16.0.25-161-56789-17,10.0.0.8,161,172.16.0.25,56789,17,2018-11-03 10:35:30.123456,3456,1200,0,480000,0,400,400,400,0,0,0,0,0,138888889,347.2,2.88,1.50,100,0.8,3456,2.88,1.50,100,0.8,0,0,0,0,0,0,0,0,0,40,0,347.2,0,400,400,400,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,0,0,0,0,0,1200,480000,0,0,-1,-1,1200,400,2.88,1.50,100,0.8,0,0,0,0,SNMP,SNMP
192.168.1.20-10.0.0.30-1900-67890-17,192.168.1.20,1900,10.0.0.30,67890,17,2018-11-03 10:40:15.789012,5678,900,0,360000,0,400,400,400,0,0,0,0,0,63414634,158.5,6.31,3.50,150,1,5678,6.31,3.50,150,1,0,0,0,0,0,0,0,0,0,40,0,158.5,0,400,400,400,0,0,0,0,0,0,0,0,0,0,0,400,400,0,0,0,0,0,0,0,900,360000,0,0,-1,-1,900,400,6.31,3.50,150,1,0,0,0,0,SSDP,SSDP
172.16.0.40-192.168.1.70-8080-78901-6,172.16.0.40,8080,192.168.1.70,78901,6,2018-11-03 10:45:00.234567,12345,10000,500,500000,25000,50,50,50,0,50,50,50,0,42517006,810.0,15.43,8.00,100,2,12345,1.2345,0.50,20,0.5,24690,49.38,20.0,150,10,0,0,0,0,40,40,810.0,40.5,50,50,50,0,0,0,5000,500,0,0,0,0,0,0.05,50,50,50,0,0,0,0,0,0,10000,500000,500,25000,65535,65535,10000,50,1.2345,0.50,20,0.5,49.38,20.0,150,10,WebDDoS,WebDDoS
10.0.0.12-172.16.0.35-69-89012-17,10.0.0.12,69,172.16.0.35,89012,17,2018-11-03 10:50:30.456789,6789,2500,0,1250000,0,500,500,500,0,0,0,0,0,184122845,368.1,2.72,1.80,80,0.3,6789,2.72,1.80,80,0.3,0,0,0,0,0,0,0,0,0,40,0,368.1,0,500,500,500,0,0,0,0,0,0,0,0,0,0,0,500,500,0,0,0,0,0,0,0,2500,1250000,0,0,-1,-1,2500,500,2.72,1.80,80,0.3,0,0,0,0,TFTP,TFTP
