model_name,detection_performance,resource_efficiency,explainability
Logistic Regression_fold1,0.9999999859000003,0.43904741848658924,0.0
Logistic Regression_fold2,0.9999999859000003,0.8775576815908394,0.0
Logistic Regression_fold4,0.9999999859000003,0.9011759881424997,0.0
Logistic Regression_fold5,0.9999999859000003,0.8986930809754742,0.0
Decision Tree_fold1,0.9999999859000003,0.8711960943230608,1.0
Decision Tree_fold2,0.9999999859000003,0.9982449894487696,1.0
Decision Tree_fold4,0.9999999859000003,0.9966754738490593,1.0
Decision Tree_fold5,0.0,1.0,1.0
Random Forest_fold1,0.9999999859000003,0.3949412698947402,1.0
Random Forest_fold2,0.9999999859000003,0.39210526351760067,1.0
Random Forest_fold4,0.9999999859000003,0.4611904823287603,1.0
Random Forest_fold5,0.9999999859000003,0.4016516242120902,1.0
